id,host_is_superhost,host_listings_count,host_total_listings_count,accommodates,bathrooms,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,number_of_reviews,average_review
1678422,f,3,3,2,1.0,1.0,1.0,6523,$75.00,2,14,28,8.9
1721045,f,6,6,2,2.0,1.0,1.0,6523,$71.00,1,60,96,9.35
1732652,t,80,80,2,,1.0,1.0,6523,$153.00,32,365,7,9.316666666666666
1746734,f,2,2,2,1.0,1.0,1.0,6523,$70.00,2,1125,339,9.483333333333334
1755737,f,0,0,2,2.0,2.0,2.0,6523,$155.00,365,730,0,
1759266,f,0,0,6,1.0,2.0,2.0,6523,$140.00,2,365,34,9.8
1759389,t,3,3,1,1.5,1.0,1.0,6523,$70.00,2,180,120,9.866666666666667
1769731,f,0,0,4,1.0,1.0,2.0,6523,$279.00,2,30,0,
1772920,f,0,0,7,2.0,3.0,5.0,6523,$379.00,2,30,2,9.666666666666668
1773021,f,0,0,9,2.0,4.0,5.0,6523,$479.00,2,30,0,
1773025,f,0,0,9,2.0,4.0,5.0,6523,$479.00,2,30,0,
1778910,f,12,12,10,1.0,2.0,3.0,6523,$59.00,1,365,480,8.45
1810118,t,1,1,3,1.0,1.0,1.0,6523,$59.00,5,1124,330,9.9
1837153,f,1,1,2,1.0,1.0,0.0,6523,$115.00,3,1125,47,9.166666666666668
1852665,t,80,80,3,1.0,1.0,1.0,6523,$140.00,60,1125,0,
1854000,t,1,1,2,1.0,1.0,1.0,6523,$182.00,1,1125,154,9.1
1900901,f,3,3,1,1.0,1.0,1.0,6523,$81.00,3,90,27,9.95
1917311,f,1,1,2,1.0,1.0,1.0,6523,$229.00,3,30,23,9.683333333333334
1921670,t,2,2,4,1.0,2.0,2.0,6523,$48.00,2,365,249,9.85
1944802,t,80,80,4,2.0,2.0,2.0,6523,$200.00,60,1125,14,9.45
1954633,t,1,1,2,2.0,1.0,1.0,6523,$107.00,1,1125,183,9.95
1960332,t,5,5,8,2.0,3.0,4.0,6523,$489.00,1,180,12,9.9
1964520,t,5,5,6,2.0,3.0,4.0,6523,$200.00,2,180,31,9.95
1965410,t,5,5,9,2.0,5.0,6.0,6523,$329.00,2,1125,37,9.95
1984545,f,6,6,3,3.5,3.0,3.0,6523,"$1,086.00",27,28,4,8.5
1989590,t,1,1,4,1.0,1.0,2.0,6523,$70.00,60,180,201,9.716666666666667
2011301,f,2,2,2,1.0,1.0,1.0,6523,$75.00,1,1125,199,9.266666666666666
2012443,t,1,1,2,1.0,1.0,1.0,6523,$36.00,3,1124,188,9.333333333333332
2041545,f,1,1,3,1.0,1.0,2.0,6523,$150.00,5,20,34,9.9
